model,k,pattern,scenario,size_iu,first_topup_min,n_topups,total_topup_iu,mean_diff_iu,mean_abs_diff_iu,worst_abs_diff_iu,worst_diff_iu,worst_diff_time_min,mean_pct_error,mean_abs_pct_error,worst_abs_pct_error,pct_of_window_within_threshold,n_evaluation_points,horizon_min
jia,0.007164568208057913,single,10000 IU at 30 min,10000.0,30.0,1,10000.0,-152.11842130451248,198.3992602044388,281.5413349477167,281.5413349477167,30.0,-1.2794221709897455,1.413985369459775,2.726155585346918,100.0,49,240.0
jia,0.007164568208057913,single,10000 IU at 60 min,10000.0,60.0,1,10000.0,-193.6353097364824,200.216579680029,266.5773397024368,-266.5773397024368,176.25,-1.4461003393341745,1.4673616431688479,2.6962033322768315,100.0,49,240.0
jia,0.007164568208057913,single,10000 IU at 90 min,10000.0,90.0,1,10000.0,-216.5193668634199,216.5193668634199,264.2736454859787,-264.2736454859787,190.0,-1.5425956794345825,1.5425956794345825,2.6018354076642605,100.0,49,240.0
jia,0.007164568208057913,single,10000 IU at 120 min,10000.0,120.0,1,10000.0,-224.20977862878354,224.20977862878354,256.04245350603014,-256.04245350603014,202.5,-1.5618288904955462,1.5618288904955462,2.4307020537757045,100.0,49,240.0
jia,0.007164568208057913,two_boluses,2 x 2500 IU at 60/120 min,2500.0,60.0,2,5000.0,-142.60810880412834,150.83861091087363,208.49899298509627,-208.49899298509627,187.5,-1.2508117022757026,1.2860357293386793,2.454580887030054,100.0,49,240.0
jia,0.007164568208057913,two_boluses,2 x 5000 IU at 60/120 min,5000.0,60.0,2,10000.0,-176.9090923602096,184.52778236117493,259.21216058079153,-259.21216058079153,191.25,-1.2759653092329744,1.3053975482943667,2.552844831277193,100.0,49,240.0
jia,0.007164568208057913,two_boluses,2 x 10000 IU at 60/120 min,10000.0,60.0,2,20000.0,-245.5110594723726,252.0923294159192,361.73006847393845,-361.73006847393845,198.75,-1.3100921999287796,1.3313535037634525,2.6697818457584366,100.0,49,240.0
jia,0.007164568208057913,three_boluses,3 x 2500 IU at 45/90/135 min,2500.0,45.0,3,7500.0,-137.144102007829,163.67946478092603,231.78454865464482,-231.78454865464482,191.25,-1.1285581209196118,1.2346140556410838,2.488157777619639,100.0,49,240.0
jia,0.007164568208057913,three_boluses,3 x 5000 IU at 45/90/135 min,5000.0,45.0,3,15000.0,-184.51992741514198,209.09186905045976,306.66145865542603,-306.66145865542603,195.3125,-1.161515353808365,1.250728598711839,2.588370223699437,100.0,49,240.0
jia,0.007164568208057913,three_boluses,3 x 10000 IU at 45/90/135 min,10000.0,45.0,3,30000.0,-279.271578229769,300.74022443873355,458.2373195633845,-458.2373195633845,203.4375,-1.204988252087281,1.270850709962109,2.692504712098578,100.0,49,240.0
lanoiselee,0.007030324936405744,single,2500 IU at 30 min,2500.0,30.0,1,2500.0,137.06675683483576,154.07836389912643,471.6744424403978,471.6744424403978,240.0,1.4904487018900718,1.578894007214459,6.598154966414182,100.0,49,240.0
lanoiselee,0.007030324936405744,single,2500 IU at 60 min,2500.0,60.0,1,2500.0,139.42296919771007,155.28848844290653,460.6482851425353,460.6482851425353,240.0,1.5887686391502525,1.6714523885446293,6.3348394599545506,100.0,49,240.0
lanoiselee,0.007030324936405744,single,2500 IU at 90 min,2500.0,90.0,1,2500.0,167.35727287103035,173.2773902137251,449.3473785793276,449.3473785793276,240.0,1.8276663198700087,1.8594549115584829,6.051031776455376,100.0,49,240.0
lanoiselee,0.007030324936405744,single,2500 IU at 120 min,2500.0,120.0,1,2500.0,211.53599463002251,211.53599463002251,438.86169599281493,438.86169599281493,240.0,2.2081589842165243,2.2081589842165243,5.759370621055129,100.0,49,240.0
lanoiselee,0.007030324936405744,single,5000 IU at 30 min,5000.0,30.0,1,5000.0,126.1609350221232,158.2910006179476,488.9508653396506,488.9508653396506,240.0,1.3301103133369072,1.4856863957458408,6.319626091895417,100.0,49,240.0
lanoiselee,0.007030324936405744,single,5000 IU at 60 min,5000.0,60.0,1,5000.0,124.62501317444556,153.661680219901,466.89855074392744,466.89855074392744,240.0,1.3519330215077179,1.493283453683821,5.8485212528883475,100.0,49,240.0
lanoiselee,0.007030324936405744,single,5000 IU at 90 min,5000.0,90.0,1,5000.0,149.35377142490393,160.58999301876338,444.2967376175111,444.2967376175111,240.0,1.4982312317416318,1.5539989041991156,5.358275310019588,100.0,49,240.0
