stratified_by,stratum,stratum_low,stratum_high,n,bias_iu,sd_iu,loa_low_iu,loa_high_iu,mean_pct_error,mean_abs_pct_error,max_abs_error_iu,pct_within_threshold_iu,model
time_on_cpb_min,60.17 to 70.57,60.17171432776622,70.56549350801032,250,688.8477566119017,984.0918773343133,-1239.9723229633523,2617.6678361871554,3.7180964721115477,6.168194413099645,3850.20974790338,61.6,delavenne
time_on_cpb_min,70.57 to 99.37,70.56549350801032,99.36681771329577,250,2012.3473262334844,1178.244656502818,-297.01220051203904,4321.706852979008,13.404952243297405,13.58239509213054,5525.7031409459905,20.0,delavenne
ibw_kg,33.46 to 63.07,33.463021933056346,63.07240518819815,250,-1151.5324417027389,1549.532248493724,-4188.615648750438,1885.5507653449602,-10.032841618446792,13.458158774735395,4978.175974635942,41.6,delavenne
ibw_kg,63.07 to 69.76,63.07240518819815,69.76346199057713,250,-219.2178850659019,1643.5306443359557,-3440.5379479643752,3002.102177832571,-0.9133319827316626,9.191182017040548,4972.16498465943,44.4,delavenne
ibw_kg,69.76 to 76.48,69.76346199057713,76.47932974443758,250,233.00533632726712,1726.7340643871796,-3151.393429871605,3617.4041025261395,2.032287371105638,8.850486830981977,4416.470981173185,41.199999999999996,delavenne
ibw_kg,76.48 to 103,76.47932974443758,102.97283675591316,250,1086.3740658911481,1898.9366236965382,-2635.5417165540666,4808.289848336362,6.309227137615366,9.820481957558401,5525.7031409459905,34.0,delavenne
elapsed_time_min,28.77 to 64.48,28.76603937056002,64.47773603746047,250,68.95567283044987,104.4272358168423,-135.72170937056103,273.6330550314608,0.33306516078275344,0.48110812505797584,342.81652743671657,100.0,jia
elapsed_time_min,64.48 to 75.43,64.47773603746047,75.4341041408175,250,16.395690280462937,100.52530318676322,-180.633903965593,213.42528452651885,0.1097325532920152,0.4136821698916396,323.60229510365207,100.0,jia
elapsed_time_min,75.43 to 85.69,75.4341041408175,85.68644237781925,250,-16.7915072466024,87.48866920893204,-188.2692988961092,154.6862844029044,-0.0669276256320198,0.38892362083712295,252.41334326978904,100.0,jia
elapsed_time_min,85.69 to 116.8,85.68644237781925,116.81673908343436,250,-52.58815898072672,83.6175793987214,-216.47861460222066,111.30229664076722,-0.2984600230342287,0.46557284084809925,318.69251535974036,100.0,jia
residual_load_iu,1.144e+04 to 1.695e+04,11436.870881171546,16947.76986345822,250,9.201468559446118,97.13558250195887,-181.18427314439325,199.58721026328547,0.061160391159710885,0.49793223514150176,323.60229510365207,100.0,jia
residual_load_iu,1.695e+04 to 1.908e+04,16947.76986345822,19084.59155143721,250,-7.034176366147716,100.86034332053613,-204.7204492743985,190.6520965421031,-0.03780977345162108,0.43153252319463026,342.81652743671657,100.0,jia
residual_load_iu,1.908e+04 to 2.127e+04,19084.59155143721,21273.549511426758,250,-2.6449594874304605,105.6215207527331,-209.66314016278736,204.37322118792642,-0.012668785353891104,0.4231135013569763,318.69251535974036,100.0,jia
residual_load_iu,2.127e+04 to 3.103e+04,21273.549511426758,31034.85286390732,250,16.449364177715747,112.17274418068006,-203.40921441641714,236.30794277184864,0.06672823305432143,0.39670849694172944,278.2656109320342,100.0,jia
time_on_cpb_min,15.63 to 49.14,15.627724082266901,49.14352164114939,250,93.99120501278007,95.13007353854982,-92.46373912277757,280.4461491483377,0.45778038103796886,0.5331692211930688,342.81652743671657,100.0,jia
time_on_cpb_min,49.14 to 60.17,49.14352164114939,60.17171432776622,250,22.298206988574762,81.9601580969364,-138.3437028814206,182.9401168585701,0.14657973597769614,0.35990017281148245,248.7759559764654,100.0,jia
time_on_cpb_min,60.17 to 70.57,60.17171432776622,70.56549350801032,250,-30.996861506840293,83.15936327614624,-193.98921352808694,131.99549051440633,-0.13091008315062935,0.36715194758999103,303.52675097493557,100.0,jia
time_on_cpb_min,70.57 to 99.37,70.56549350801032,99.36681771329577,250,-69.32085361093085,76.93558054409239,-220.11459147735195,81.47288425549023,-0.3960399684565155,0.48906541504029544,318.69251535974036,100.0,jia
ibw_kg,33.46 to 63.07,33.463021933056346,63.07240518819815,250,56.552486372530204,96.74627071169033,-133.07020422238284,246.17517696744326,0.33140559046809687,0.5311983846723751,342.81652743671657,100.0,jia
ibw_kg,63.07 to 69.76,63.07240518819815,69.76346199057713,250,17.4321818682089,98.07267259368771,-174.79025641541904,209.6546201518368,0.06261770402750325,0.41991799281914427,294.72689313314186,100.0,jia
ibw_kg,69.76 to 76.48,69.76346199057713,76.47932974443758,250,-8.559787588258885,95.37751254809973,-195.49971218253438,178.38013700601658,-0.07129565672126172,0.3837013232791906,303.52675097493557,100.0,jia
ibw_kg,76.48 to 103,76.47932974443758,102.97283675591316,250,-49.45318376889653,98.1837335053499,-241.89330143938236,142.98693390158928,-0.24531757236581828,0.41446905586412763,318.69251535974036,100.0,jia
elapsed_time_min,28.77 to 64.48,28.76603937056002,64.47773603746047,250,16.891573959272886,103.00951446073867,-185.00707438377492,218.79022230232067,0.10033940865701413,0.39632434279181966,293.4117140585804,100.0,lanoiselee
elapsed_time_min,64.48 to 75.43,64.47773603746047,75.4341041408175,250,-2.3227374364353963,98.52637313621872,-195.4344287834241,190.7889539105533,0.01498000186720645,0.3935513570490389,319.9887260139185,100.0,lanoiselee
elapsed_time_min,75.43 to 85.69,75.4341041408175,85.68644237781925,250,-6.034189079417592,84.4651906520533,-171.58596275744205,159.51758459860687,-0.00832775480770895,0.368723955890886,250.37370485101928,100.0,lanoiselee
elapsed_time_min,85.69 to 116.8,85.68644237781925,116.81673908343436,250,10.684501271839617,80.61688739804626,-147.32459802833105,168.6936005720103,0.0863489867545191,0.3796639958428409,247.8852229766162,100.0,lanoiselee
residual_load_iu,1.151e+04 to 1.716e+04,11514.264387386995,17156.115427137956,250,44.25333675098582,81.6370186344659,-115.75521977256733,204.26189327453898,0.28943923354844686,0.46962113005521017,303.5688763493836,100.0,lanoiselee
residual_load_iu,1.716e+04 to 1.929e+04,17156.115427137956,19291.83110000685,250,9.444288745294834,82.29274727992953,-151.84949592336704,170.73807341395673,0.05384298780589567,0.3515165896667396,280.29500318823193,100.0,lanoiselee
residual_load_iu,1.929e+04 to 2.14e+04,19291.83110000685,21404.659645951047,250,-8.872301479040004,91.74293573852968,-188.6884555265582,170.94385256847818,-0.04261377471505471,0.36604663681392746,319.9887260139185,100.0,lanoiselee
residual_load_iu,2.14e+04 to 3.112e+04,21404.659645951047,31118.985967609788,250,-25.60617530198113,98.73366054202359,-219.12414996434734,167.9117993603851,-0.1073278041682571,0.3510792950387082,292.0286753940454,100.0,lanoiselee
time_on_cpb_min,15.63 to 49.14,15.627724082266901,49.14352164114939,250,42.70782817693522,98.25172169122327,-149.86554633786238,235.2812026917328,0.22789783581868092,0.4160058946741934,303.5688763493836,100.0,lanoiselee
time_on_cpb_min,49.14 to 60.17,49.14352164114939,60.17171432776622,250,3.845979769715661,88.36606519730162,-169.35150801699552,177.04346755642683,0.05248347714790598,0.3651142285043188,292.0286753940454,100.0,lanoiselee
time_on_cpb_min,60.17 to 70.57,60.17171432776622,70.56549350801032,250,-20.09278061743576,89.67360054725387,-195.85303769005333,155.66747645518183,-0.0703025772083682,0.3796013360369963,319.9887260139185,100.0,lanoiselee
time_on_cpb_min,70.57 to 99.37,70.56549350801032,99.36681771329577,250,-7.241878613955611,81.16324065369683,-166.32183029520138,151.83807306729017,-0.016738093287187953,0.37754219235907693,247.8852229766162,100.0,lanoiselee
ibw_kg,33.46 to 63.07,33.463021933056346,63.07240518819815,250,53.804146312863665,86.01954261115222,-114.79415720499468,222.402449830722,0.3329850818657716,0.4939463799389073,303.5688763493836,100.0,lanoiselee
ibw_kg,63.07 to 69.76,63.07240518819815,69.76346199057713,250,20.607264003998118,83.19005772261757,-142.4452491323323,183.65977714032854,0.10745813273515238,0.3605985238754747,280.29500318823193,100.0,lanoiselee
ibw_kg,69.76 to 76.48,69.76346199057713,76.47932974443758,250,-8.16628724367229,82.08077937305434,-169.0446148148588,152.71204032751422,-0.0408837057042156,0.3307794350255196,319.9887260139185,100.0,lanoiselee
ibw_kg,76.48 to 103,76.47932974443758,102.97283675591316,250,-47.02597435792998,87.84965275126626,-219.21129375041184,125.15934503455188,-0.2062188664256776,0.35293931273468376,292.0286753940454,100.0,lanoiselee
elapsed_time_min,28.77 to 64.48,28.76603937056002,64.47773603746047,250,-521.6278903694091,257.59403220170185,-1026.5121934847448,-16.743587254073475,-1.9431130761568751,1.9431130761568751,1213.5890588479015,93.2,meesters
elapsed_time_min,64.48 to 75.43,64.47773603746047,75.4341041408175,250,-105.85127895408682,123.69747085675083,-348.2983218333184,136.5957639251448,-0.3911016592646564,0.5134869547660459,491.0409590042982,100.0,meesters
elapsed_time_min,75.43 to 85.69,75.4341041408175,85.68644237781925,250,149.92526571519846,100.40233704904833,-46.863314900936246,346.7138463313332,0.652047594085023,0.6757409798699028,383.0561399999315,100.0,meesters
elapsed_time_min,85.69 to 116.8,85.68644237781925,116.81673908343436,250,517.5246033035361,168.28287440493818,187.69016946985727,847.359037137215,2.2513897697780454,2.2513897697780454,1001.3352395031907,99.6,meesters
residual_load_iu,1.429e+04 to 2.241e+04,14287.9003420763,22405.423553733166,250,223.68721728777396,317.9377031925531,-399.47068096963017,846.845115545178,1.0869791170416603,1.545008576650715,1001.3352395031907,99.6,meesters
residual_load_iu,2.241e+04 to 2.463e+04,22405.423553733166,24628.467369572718,250,125.45000042594557,337.3097617976076,-535.6771326973653,786.5771335492566,0.5383070220183206,1.225810900376578,876.5768173835204,100.0,meesters
residual_load_iu,2.463e+04 to 2.681e+04,24628.467369572718,26809.595779580486,250,-19.359606796842534,367.0873402747436,-738.85079373534,700.1315801416549,-0.07177369674624129,1.1260969568530486,1097.0033271900575,99.6,meesters
residual_load_iu,2.681e+04 to 3.596e+04,26809.595779580486,35958.87406878018,250,-289.80691122163836,442.2824449153135,-1156.6805032556529,577.066680812376,-0.984289813872203,1.4868143466905277,1213.5890588479015,93.60000000000001,meesters
time_on_cpb_min,15.63 to 49.14,15.627724082266901,49.14352164114939,250,-494.65705656561437,282.0560361531189,-1047.4868874257274,58.17277429449865,-1.8352656552597193,1.8533986282185766,1213.5890588479015,93.2,meesters
time_on_cpb_min,49.14 to 60.17,49.14352164114939,60.17171432776622,250,-96.60309521851087,177.29549777360862,-444.10227085478374,250.896080417762,-0.3508453278787567,0.6244598628316064,924.7747216579519,100.0,meesters
time_on_cpb_min,60.17 to 70.57,60.17171432776622,70.56549350801032,250,134.7514282459372,164.0834986476434,-186.85222910344388,456.3550855953183,0.5922860177341815,0.7428246956748549,571.0168717963497,100.0,meesters
time_on_cpb_min,70.57 to 99.37,70.56549350801032,99.36681771329577,250,496.47942323342664,193.1460131491601,117.91323746107287,875.0456090057804,2.1630475938458313,2.1630475938458313,1001.3352395031907,99.6,meesters
