model,institution,population,spec,k_transported,k_recalibrated,k_pct_difference,bias_transported_iu,bias_recalibrated_iu,mape_transported,mape_recalibrated,loa_width_transported_iu,loa_width_recalibrated_iu
prodose,high_dose,adult,"high_dose: 550 IU/kg, prime 10000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.005495688622151766,0.004349598217727339,-20.85435480832773,2840.927975515349,-0.045165419429780744,8.29861516988042,1.2217959404839949,3521.772979550823,2067.542825168493
prodose,low_dose_no_prime,adult,"low_dose_no_prime: 300 IU/kg, prime 0 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.005495688622151766,0.0070519111441917585,28.317152390461914,-1505.7896932780209,0.009736912720192777,12.138310542489263,1.618788670948743,888.3897185765718,981.6449071004239
prodose,slow_start,adult,"slow_start: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 35+/-8 min, time on CPB 60+/-15 min [adult]",0.005495688622151766,0.005116933843931492,-6.891852946209633,707.1225216209709,0.021075744154706626,3.7510392417648926,1.2973398180521327,1468.2624675627758,1291.1550719590884
prodose,wide_case_mix,adult,"wide_case_mix: 400 IU/kg, prime 5000 IU, IBW 75+/-20 kg, time to CPB 20+/-10 min, time on CPB 75+/-35 min [adult]",0.005495688622151766,0.005283029384712002,-3.869564890969032,399.79265509355906,0.02197649681776147,3.5477380221915733,2.4904030013201415,2720.5000115037756,2459.3927696905953
prodose-2,heavier_population,adult,"heavier_population: 400 IU/kg, prime 5000 IU, IBW 95+/-15 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.00419150511601981,0.004467342506025008,6.580867310669763,-634.1204957029561,0.014636208180680114,2.191781484385948,1.679797918758094,2395.7531330955226,2507.339275209528
prodose-2,lighter_population,adult,"lighter_population: 400 IU/kg, prime 5000 IU, IBW 55+/-8 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.00419150511601981,0.003940360185854347,-5.99176007696124,370.0458801284643,-0.007517206037049618,2.5140023638361093,1.6457654139132123,1696.9218834569497,1603.6391250435938
prodose-2,long_bypass,adult,"long_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 110+/-25 min [adult]",0.00419150511601981,0.0037581094812425683,-10.339856991246801,1069.899176512982,-0.035216301706861484,5.584740149062807,1.864440936672909,1974.8156376159682,1859.2604601724115
prodose-2,short_bypass,adult,"short_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 35+/-10 min [adult]",0.00419150511601981,0.004734785725892249,12.961468370777757,-708.7282678017857,0.02057157343646395,2.6679529971917586,1.6033839848232838,1797.0295651757438,2028.484992520901
prodose-2,high_dose,adult,"high_dose: 550 IU/kg, prime 10000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.00419150511601981,0.0034615900628258978,-17.414151551532125,1968.2325511786933,-0.0235458588207548,5.4998950777919795,1.4989443850043735,3538.6598629241844,2728.6553222397724
prodose-2,low_dose_no_prime,adult,"low_dose_no_prime: 300 IU/kg, prime 0 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.00419150511601981,0.005179477421178428,23.57082426984562,-1079.475602556299,-0.00798164303291287,7.384419919281122,1.923837280159371,1279.581489634365,1332.7743149522355
prodose-2,slow_start,adult,"slow_start: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 35+/-8 min, time on CPB 60+/-15 min [adult]",0.00419150511601981,0.0038460783939399095,-8.241114170651722,730.1975998865231,0.0035850588936591522,3.574901541743162,1.6529934740347276,1913.3279887723058,1830.8433563150697
prodose-2,wide_case_mix,adult,"wide_case_mix: 400 IU/kg, prime 5000 IU, IBW 75+/-20 kg, time to CPB 20+/-10 min, time on CPB 75+/-35 min [adult]",0.00419150511601981,0.004026838174557532,-3.928587390551562,353.1219530442161,0.01640089283745965,4.049300864355705,3.3685802427682443,3877.4560655618748,3733.2108187005006
